gun	gun	Guaraní, Mbyá	cc
hixNT	hix	Hixkaryána	cc
urbNT	urb	Kaapor	cc
kbcNT	kbc	Kadiwéu	cc
kgpNT	kgp	Kaingang	cc
kgkNT	kgk	Kaiwá	cc
kpjNT	kpj	Karajá	cc
kyzNT	kyz	Kayabí	cc
txuNT	txu	Kayapó	cc
mbcNT	mbc	Macushi	cc
mblNT	mbl	Maxakalí	cc
myu	myu	Mundurukú	cc
mbjNT	mbj	Nadeb	cc
plu	plu	Palikúr	cc
pabNT	pab	Parecís	cc
padNT	pad	Paumarí	cc
porblt	por	Português	cc
porbr2018	por	Portuguese	cc
porbrbsl	por	Portuguese	public
portft	por	Portuguese	cc
rkbNT	rkb	Rikbaktsa	cc
mavNT	mav	Sateré-Mawé	cc
pahNT	pah	Tenharim	cc
terNT	ter	Terêna	cc
tuoNT	tuo	Tucano	cc
xavNT	xav	Xavánte	cc
boxNT	box	Buamu	cc
gux	gux	Gourmanchéma	cc
guxg	gux	Gourmanchéma	cc
bssNT	bss	Akoose	cc
anvNT	anv	Denya	cc
xed	xed	Hdi	cc
kenNT	ken	Kenyang	cc
mcp	mcp	Makaa	cc
mqbNT	mqb	Mbuko	cc
meq	meq	Merey	cc
muy	muy	Muyang	cc
nhuNT	nhu	Noone	cc
alqALGNT	alq	Algonquin	cc
bea	bea	Beaver	public
bla	bla	Blackfoot	public
crxNTpo	crx	Carrier	cc
cafNT	caf	Carrier, Southern	cc
dgrDOGNT	dgr	Dogrib	cc
micMIQNT	mic	Mi'kmaq	cc
bjvNT	bjv	Bedjond	cc
daaNT	daa	Dangaléat	cc
kyq	kyq	Kenga	cc
arnNT	arn	Mapudungun	cc
cmn-cu89s	cmn	Chinese	public
cmn-cu89t	cmn	Chinese	public
cmnfeb	cmn	Chinese	cc
uigara	uig	Uyghur	cc
uigcyr	uig	Uyghur	cc
uigpin	uig	Uyghur	cc
uiglat	uig	Uyghur	cc
kwi	kwi	Awa-Cuaiquer	cc
bsnNT	bsn	Barasana-Eduria	cc
cbv	cbv	Cacua	cc
kbh	kbh	Camsá	cc
cbcNT	cbc	Carapana	cc
cubNT	cub	Cubeo	cc
cui	cui	Cuiba	cc
sjaNT	sja	Epena	cc
guh	guh	Guahibo	cc
gum	gum	Guambiano	cc
gvc	gvc	Guanano	cc
guoNT	guo	Guayabero	cc
hto	hto	Huitoto, Minica	cc
inb	inb	Inga	cc
myy	myy	Macuna	cc
bmrNT	bmr	Muinane	cc
pioNT	pio	Piapoco	cc
pirNT	pir	Piratapuyo	cc
snnNT	snn	Siona	cc
sri	sri	Siriano	cc
tnc	tnc	Tanimuca-Retuarã	cc
tav	tav	Tatuyo	cc
tuf	tuf	Tunebo, Central	cc
tue	tue	Tuyuca	cc
baoNT	bao	Waimaha	cc
noaE	noa	Woun Meu	cc
noaH	noa	Woun Meu	cc
ycn	ycn	Yucuna	cc
bzdNTpo	bzd	Bribri	cc
kyf	kyf	Kouya	cc
yreNT	yre	Yaouré	cc
hrv	hrv	Croatian	public
ronludari	ron	Romanian	cc
ces1613	ces	Czech	public
ceslb	ces	Czech	cc
cesnkb	ces	Czech	cc
yom	yom	Kiyombi	cc
lin	lin	Lingála	cc
dan1931	dan	Danish	public
cbiNTpo	cbi	Chachi	cc
conNTpo	con	Cofán	cc
cofNT	cof	Colorado	cc
qvzNT	qvz	Quichua, Northern Pastaza	cc
seyNT	sey	Secoya	cc
jivNT	jiv	Shuar	cc
aucNT	auc	Waorani	cc
arbnav	arb	Arabic, Standard	cc
copbhc	cop	Coptic	public
copcnt	cop	Coptic	public
copshc	cop	Coptic	none
ekkpkp	ekk	Eestonian	cc
amh	amh	Amharic	none
bwo	bwo	Borna	cc
dwrENT	dwr	Dawro	cc
dwrNT	dwr	Dawro	cc
gmvNT	gmv	Gamo	cc
gmvRNT	gmv	Gamo	cc
gmvggm	gmv	Gamotso	cc
gofwftw	gof	Gofa	cc
gofENT	gof	Gofa	cc
gofRNT	gof	Gofa	cc
amf	amf	Hamer-Banna	cc
mdyeth	mdy	Male	cc
gaz	gaz	Oromo, West Central	cc
wal	wal	Wolaytta	cc
breBRG	bre	Breton	public
frasbl	fra	French	public
fraLSG	fra	French	public
francl	fra	French	cc
fra_fob	fra	French	public
deuelbbk	deu	German	cc
deu1912	deu	German, Standard	public
deu1951	deu	German, Standard	cc
deutkw	deu	German, Standard	public
deu-f35	deu	German, Standard	public
deuelo	deu	German, Standard	public
ncuNT	ncu	Chumburung	cc
ewe	ewe	eʋegbe	cc
xon	xon	Konkomba	cc
nkoNT	nko	Nkonya	cc
twi	twi	Twi	cc
aka	twi	Twi	cc
twiasante	twi	Twi	cc
grc-tisch	grc	Greek	public
grcbrent	grc	Greek, Ancient	public
grcbyz	grc	Greek, Ancient	public
grcmt	grc	Greek, Ancient	public
grcf35	grc	Greek, Ancient	cc
grcsbl	grc	Greek, Ancient	cc
grcsr	grc	Greek, Ancient	public
grctcgnt	grc	Greek, Ancient	public
grctr	grc	Greek, Ancient	public
cha	cha	Chamorro	public
acrNNT	acr	Achi	cc
acrTNT	acr	Achi	cc
